nimi;kirjeldus;id;registrikood;omanik
Konsultatsioonid tööstusdisaini registreerimist puudutavates küsimustes;Saab vastuseid tööstusdisainilahenduste registreerimist puudutavates küsimustele;EPA-024;70003164;48812124785
Konsultatsioonid kaubamärkide registreeritavuse ja õiguskaitse küsimustes;Saab vastuseid kaubamärkide registreeritavuse ja õiguskaitse küsimustele;EPA-023;70003164;48812124785
Konsultatsioonid patenditaotluse ja kasuliku mudeli taotluse vormistamisega seotud küsimustes;Saab vastuseid patenditaotluse ja kasuliku mudeli taotluse vormistamisega seotud küsimustele;EPA-022;70003164;48812124786
Eesti kodaniku passi taotlemine välismaal;Passi taotlemiseks ja kättesaamiseks tuleb pöörduda Eesti Vabariigi välisesindusse ;MFA-017;70002526;48812124765
Püsivalt välisriigis elava Eesti kodaniku elukoha registreerimise taotlemine;Püsivalt välisriigis elava Eesti kodaniku või välismaalase elukoha registreerimine on soovitatav neile, kes elavad (nt töötavad või õpivad) pikemaajaliselt välisriigis;MFA-016;70002526;48812124765
Keskne hankimine;Registrite ja Infosüsteemide Keskus on ministeeriumide ja nende valitsemisala riigiasutuste ning Riigikantselei infotehnoloogia valdkonna riigihangetes keskne hankija. ;RIK-004;70000310;48812124787
Teedeehituse ja liiklusohutuse kutsekvalifikatsiooni tõendava dokumendi taotlemine;Välisriigis omandatud teedeehituse ja liiklusohutuse auditeerimise  alase kvalifikatsiooni vastavuse hindamine ja tõendamine.;MA-067;70001490;48812124788
Osalusveeb;"Osalusveebis saab: esitada Vabariigi Valitsusele ideid ja ettepanekuid; koguda allkirju oma idee toetuseks; avaldada arvamust töös olevate eelnõude suhtes; otsida õigusakte või strateegiadokumente";RIIK-002;70004809;
Maakatastri menetlusmoodul;Kinnisomandi ulatuse ja asukoha registreerimine.;MAA-045;70003098;48812124789
Maakatastri virtuaalkontor (MVK);Töövahend maamõõtjatele ja ametnikele katastri lähteülesande põhjal tehtud mõõdistuste või loodud katastriüksuste andmete sisestamiseks ning toimiku loomiseks ja menetlusse saatmiseks.;MAA-044;70003098;48812124789
Maakatastri dokumentide väljastamine;Vastavalt maakatastriseaduse § 6 lg 4 on katastri ametlikuks väljavõtteks katastripidaja pitsati ja allkirjaga kinnitatud õiend maaüksuse registreerimise kohta maakatastris.;MAA-043;70003098;48812124789
Kitsendusi põhjustavate objektide infosüsteemi teenus;Avalik-õiguslike kitsenduste registreerimine maakatastris ja andmete avalikustamine;MAA-042;70003098;48812124789
Maakatastri digiarhiiv;Katastriandmete alusdokumentide arhiiviandmete väljastamine;MAA-041;70003098;48812124789
Kitsenduste andmete tellimine;Kitsenduste andmete tellimine;MAA-040;70003098;48812124789
Lennuloa taotlemine;Välisriigi riiklikke ülesandeid täitev õhusõiduk vajab luba sisenemiseks Eesti õhuruumi, maandumiseks Eesti territooriumil või sellest ülelennuks. Taotlus tuleb esitada vähemalt 5 tööpäeva enne kavandatud lendu.;MFA-015;70002526;48812124765
Laevaloa taotlemine;Välisriigi riiklikke ülesandeid täitev laev, samuti ka uurimistöid teostav laev vajab luba sisenemiseks Eesti territoriaalvetesse, sisemerre ning saabumiseks sadamasse.  Taotlus tuleb esitada vähemalt 10 tööpäeva enne laeva kavandatud sisenemist;MFA-014;70002526;48812124765
Viljandi Muuseumi infoteenused;Info rubriigid: uudised, lahtiolekuajad, piletiinfo, näitused, üritused, kogud, trükised, raamatukogu.;VILJ-001;70002874;
Dokumentide edastamise taotlemine;Dokumendi edastamine on avalik teenus, mille käigus on isikul võimalik edastada dokument ametiasutusele ning ametiasutusel isikule Eesti välisministeeriumi või Eesti välisesinduse kaudu;MFA-013;70002526;48812124765
Eesti dokumendi tellimine;Välisriigis elades on isikul võimalik Eesti välisesinduse kaudu tellida  Eesti ametiasutuste ja ettevõtete poolt väljastatavaid dokumente ;MFA-012;70002526;48812124765
Dokumentidele juurdepääsu korraldamine;Patendiameti dokumentide otsing dokumendiregistrist;EPA-021;70003164;48812124790
Kodulehekülg;Sihtasutuse klientidele suunatud informatsiooniväli teenuste, teenuste hindade, avaliku teabe seadusest tulenevatest nõuetest ja reklaamimaterjalist;TEHV-001;90007715;
Tollimaksu tagastamise taotlemine;Tollimaksu tagasimaksmine on juba tasutud impordi- või ekspordimaksu täielik või osaline tagasimaksmine.;mta-211;70000349;
Väetise tootmine ja turustamine;Ettevõte esitab taotluse väetiseregistrisse kandmiseks. PMA kontrollib andmed ja avaldab need avalikus registris PMA kodulehel. PMA kontrollib väetise tootmist ja turustamist. ;PMA-015;70000071;48812124740
Maaparandushoid;PMA korraldab riigi poolt korrashoitavate ühiseesvoolude hooldamise ja uuendamise, teostab maaparanduse seiret, koostab hoiukava ja haldab maaparandussüsteemi registrit. ;PMA-014;70000071;48812124791
Noortestuudio;Haridusteenus;VENE-005;90008666;
Saali rent;Renditeenused;VENE-004;90008666;
Ekskursioon;Teatri ajaloo ekskursioon;VENE-003;90008666;
Teatrietendus;Teatrietendused;VENE-002;90008666;
Avaliku dokumendi legaliseerimise taotlemine;Dokumendi legaliseerimine on rahvusvaheliselt tunnustatud tõestus dokumendi ehtsuse kohta, mis on vajalik ühes riigis välja antud avaliku dokumendi kasutamiseks teises riigis;MFA-011;70002526;48812124765
Intressinõude koostamine;Intressivõla tasumiseks tuleb eelnevalt koostada intressinõue.;mta-210;70000349;
Teravilja, teraviljasaaduse ja söötade laboratoorne analüüs;Teravilja, teraviljasaaduste, õlitaimede seemnete ja õli, söötade ja söödalisandite ning silo keemilise koostise ja kvaliteedi määramine.;PMK-005;70000042;48812124792
MAK 2014-2020 Natura 2000 toetus põllumajandusmaale taotlemine;Teenus võimaldab taotleda toetust, et hüvitada Natura 2000 aladel asuvate põllumajandusmaadel looduskaitseseadusest tulenevate kitsenduste ning linnudirektiivist ja elupaikade direktiivist tulenevate nõuete täitmiseks tehtud kulutusi;PRIA-079;70005967;48812124778
Töötajate registreerimine;Tööandjal on kohustus registreeida alates 1.juulis 2014 kõik töötamised töötamise registris.;mta-209;70000349;
MAK 2014-2020 loomade heaolu toetuse taotlemine;Teenus võimaldab taotleda toetust, et tõsta loomakasvatajate teadlikkust loomade heaolust ja toetada põllumajandustootjaid, kes täidavad loomade heaolu kõrgemaid nõudeid, parandades sellega loomade heaolu ja tervist;PRIA-078;70005967;48812124778
MAK 2014-2020 mahepõllumajanduse toetuse taotlemine;Teenus võimaldab taotleda toetust, et arendada mahepõllumajandust ning suurendada mahepõllumajanduse konkurentsivõimet, säilitada ja suurendada bioloogilist ja maastikulist mitmekesisust, säilitada ja parandada mullaviljakust;PRIA-077;70005967;48812124778
MAK 2014-2020 poolloodusliku koosluse hooldamise toetuse taotlemine;Teenus võimaldab taotleda toetust, et parandada poollooduslike koosluste ja nendega seotud liikide seisundit;PRIA-076;70005967;48812124778
MAK 2014-2020 ohustatud tõugu looma pidamise toetuse taotlemine;Teenus võimaldab taotleda toetust, et tagada kultuuripärandi ja geneetilise mitmekesisuse seisukohast oluliste kohalike ohustatud tõugude - eesti maatõugu veise, eesti hobuse, tori hobuse, eesti raskeveohobuse ja eesti vuti säilimine;PRIA-075;70005967;48812124778
EL tagastustaotluste esitamine;Käibemaksu tagastamine liikmesriigi maksukohustuslasele ;mta-208;70000349;
MAK 2014-2020 kohalikku sorti taimede kasvatamise toetuse taotlemine;Teenus võimaldab taotleda toetust, et tagada kultuuripärandi ja geneetilise mitmekesisuse seisukohast oluliste kohalike taimesortide säilimine ning soodustada vanade kohalike puuvilja- ja marjasortidega uute istandike rajamist;PRIA-074;70005967;48812124778
MAK 2014-2020 keskkonnasõbraliku aianduse puuvilja- ja marjakasvatuse toetuse taotlemine;Teenus võimaldab taotleda toetust, et soodustada keskkonnasõbralike praktikate rakendamist aianduskultuuride kasvatamisel;PRIA-073;70005967;48812124778
MAK 2014-2020 piirkondlik mullakaitse toetuse taotlemine;Teenus võimaldab taotleda toetust, et tagada erodeeritud ja turvasmuldade jätkusuutlik kasutamine ning muldade degradatsiooni vähendamine;PRIA-072;70005967;48812124778
Piletite müük;Teatripiletite soetamine e-keskkonnas;EN-001;90010769;
MAK 2014-2020 keskkonnasõbraliku aianduse köögivilja-, ravim- ja maitsetaimekasvatuse ja maasikakasvatuse toetuse taotlemine;Teenus võimaldab taotleda toetust, et soodustada keskkonnasõbralike praktikate rakendamist aianduskultuuride kasvatamisel. Spetsiifilisteks eesmärkideks on vähendada taimekaitsevahendite kasutamist, tagada tarbijatele tervislikum toit;PRIA-071;70005967;48812124778
MAK 2014-2020 keskkonnasõbraliku majandamise toetuse taotlemine;Teenus võimaldab taotleda toetust, et soodustada keskkonnasõbralike majandamisviiside kasutuselevõttu ja jätkuvat kasutamist põllumajanduses, et kaitsta mulda ja vett ning parandada nende seisundit.;PRIA-070;70005967;48812124778
Välisriigi isikule Eestis tasutud käibemaksu tagastamise taotlemine;Ühendusevälisest riigist tasutud käibemaksu tagastamise taotlemine;mta-207;70000349;
MAK 2007-2013 poolloodusliku koosluse hooldamise toetuse taotlemine;Teenus võimaldab taotleda toetust, et parandada poollooduslike koosluste ja nendega seotud liikide seisundit;PRIA-069;70005967;48812124778
MAK 2007-2013 ohustatud tõugu looma pidamise toetuse taotlemine;Teenus võimaldab taotleda toetust, et tagada kultuuripärandi ja geneetilise mitmekesisuse seisukohast oluliste kohalike ohustatud tõugude - eesti maatõugu veise, eesti hobuse, tori hobuse ja eesti raskeveohobuse säilimine;PRIA-068;70005967;48812124778
MAK 2007-2013 kohalikku sorti taimede kasvatamise toetuse taotlemine;"Teenus võimaldab taotleda toetust, et säilitada kohaliku teraviljasordi \Sangaste\"" geneetiline ressurss""";PRIA-067;70005967;48812124778
MAK 2007-2013 mahepõllumajandusliku tootmise toetuse taotlemine;Teenus võimaldab taotleda toetust, et säilitada ja suurendada bioloogilist ja maastikulist mitmekesisust ning säilitada ja parandada mullaviljakust ja veekvaliteeti. Toetab mahepõllumajanduse arengut ja aitab kaasa mahetoodangu mahu suurenemisel;PRIA-066;70005967;48812124778
Väikepõllumajandustootja toetuse taotlemine (loobumine);Teenus võimaldab taotleda toetust, et toetada Eesti väikepõllumajandustootjaid, kelle kasutuses on ligikaudu 10 hektarit põllumajandusmaad;PRIA-065;70005967;48812124778
Õiguste taotlemine tehnovõrgu ja -rajatise ehitamiseks ja talumiseks riigitee maale;Era- või juriidilisele isikule võimaluse andmine riigitee maale tehnovõrgu ja -rajatise  ehitamiseks;MA-060;70001490;
Tagastus- või ümberkannete taotlemine;Enammakstud maksude/maksete tagastamise või ümberkannete taotlemine;mta-206;70000349;
Maksude tasumine;E-maksuameti/e-tolli keskkonnas saab makskohustused koheselt tasuda.;mta-205;70000349;
Dokumendiregister;Maksu- ja Tolliameti dokumendiregistri avalikus vaates on võimalik tutvuda ameti tegevuse käigus loodud või saadud dokumentidega.;mta-204;70000349;
Vaide esitamine;Haldusakti või toimingu vaidlustamine;mta-203;70000349;
Vihje andmine;Vihjed maksude ja salakaubaveoga seotud õigusrikkumiste kohta;mta-202;70000349;
Tagasiside andmine;Klientide ettepanekute, arvamuste, kiituste, pretensioonide, probleemide vorm;mta-201;70000349;
Teabenõude esitamine;Teabenõude saate vastavalt avaliku teabe seadusele meile esitada, kui soovite saada dokumenti või infot, mis on Maksu- ja Tolliametil juba olemas. ;mta-200;70000349;
Kalapüügi- või vesiviljelustoodete tootja või töötleja praktikatoetus;Teenus võimaldab kalandustoodete tootjal või töötlejal praktikatoetust taotleda;PRIA-064;70005967;48812124762
Kalapüügi- või vesiviljelustoodete tootja või töötleja koolitustoetus;Teenus võimaldab kalandustoodete tootjal või töötlejal koolitustoetust taotleda;PRIA-063;70005967;48812124762
Näituseinventari laenutamine;Laenutame vitriine, stende, valgusteid;ESM-002;70004353;
Spordiajalooliste näituste koostamine; Näituste koostamine, kujundus ja teostus;ESM-001;70004353;
Ruumide broneerimine;5. korruse teatmesaalis asuvad rühmaruumid valge, sinine, roheline, kollane, punane, oranş. Lugejatel on võimalus kasutada ka tööruume.;NLIB-013;74000139;
Arvutitöökohtade broneerimine;Võimalik on broneerida multimeediaarvuteid ja autoriseeritud töökohti.;NLIB-012;74000139;
Telli ISMN noodile;ISMNi saavad kõik noodid (trükitud või elektroonilisel kujul), sh partituurid, klaviirid, partituurist eraldi avaldatud partiid, eri autorite valikkogud (antoloogiad), noodikomplektid, laulikud jne.;NLIB-011;74000139;
Telli ISSN perioodikale;ISSN tunnuse saavad: Ajakirjad, ajalehed, aastaväljaanded (aruanded, aastaraamatud, teatmikud jms.), seeriaväljaanded (toimetised, kogumikud jms.) sõltumata sellest, millisel meediakandjal nad ilmuvad (trükis, CD-ROM, DVD, võrguväljaanne).;NLIB-010;74000139;
Telli ISBN elektroonilisele teavikule;Elektrooniline teavik on dokument, mille loomine, vahendamine ja kasutamine toimub elektrooniliste seadmete vahendusel, nt võrguväljaanne, DVD, CD-ROM jne.;NLIB-009;74000139;
Telli ISBN raamatule (trükisele);ISBN on raamatu rahvusvaheline standardnumber, mis võimaldab kiiret ja täpset väljaande identifitseerimist, hõlbustab raamatu tellimist ja müüki ning lihtsustab arvepidamist.;NLIB-008;74000139;
Rändealane nõustamine;Nii sisse- kui  väljarändajate nõustamine migratsiooniprotsessi erinevates küsimustes;MEIS-002;90000788;
Etendustegevus;Piletimüügi teenus;VANE-001;90011065;48812124793
Nõustamine;Vähelõimunud püsielanike nõustamine;MEIS-001;90000788;
Arheoloogiline järelevalve;Mälestisel või muinsuskaitsealal teostatavatel kaevetöödel nõutud arheoloogilise järelevalve läbiviimine.;PARN-010;70001811;
Vesiviljelusettevõtete otsing;Vesiviljelusettevõtete andmete otsimine ja vaatamine;PRIA-062;70005967;48812124713
Põllumajandusloomade registris olevate veiste, lammaste ja kitsede avalike andmete XML otsing;Veiste, lammaste ja kitsede avalike andmete XML otsimine ja vaatamine;PRIA-061;70005967;48812124713
Arhivaalide kauglaenutus;Kauglaenutuse eesmärk on võimaldada Pärnu Muuseumi uurimissaalis töötavatel uurijatel kasutada arhivaale Rahvusarhiivi struktuuriüksustest;PARN-009;70001811;
Põllumajandusloomade registri statistilised andmed hetkeseisuga;Põllumajandusloomade registri statistiliste andmete vaatamine;PRIA-060;70005967;48812124713
Veiste, lammaste ja kitsede arvu seis;Hetkeseisuga registris olevate elusloomade arvu vaatamine;PRIA-059;70005967;48812124713
Hobuslaste registri avalike andmete otsing;Hobuslaste registriandmete otsimine ja vaatamine;PRIA-058;70005967;48812124713
Põllumajandusloomade registris olevate kitsede avalike andmete otsing;Kitsede registriandmete otsimine ja vaatamine;PRIA-057;70005967;48812124713
Toitlustus;Muuseumiürituste ja temaatiliste ekskursioonide toitlustamine ning igapäevane toitlustus Pärnu Muuseumi kohviku ruumides.;PARN-008;70001811;
Põllumajandusloomade registris olevate lammaste avalike andmete otsing;Lammaste registriandmete otsimine ja vaatamine;PRIA-056;70005967;48812124713
Põllumajandusloomade registris  olevate veiste avalike andmete otsing;Veiste registriandmete otsimine ja vaatamine;PRIA-055;70005967;48812124713
Veiste, lammaste, kitsede tapmine tapamajas;Veiste, lammaste ja kitsede tapamajas tapmise andmete registrisse kandmine;PRIA-054;70005967;48812124713
Ürituste korraldamine;Seminaride, konverentside, loengute, laste töötubade/sünnipäevade, kultuurisündmuste ja ürituste korraldamine Pärnu Muuseumi seminariruumis.;PARN-007;70001811;
Raamatute ja suveniiride müük;Pärnu Muuseumi ning Pärnu ja Pärnumaa temaatiliste trükiste ja suveniiride müük muuseumi poes.;PARN-006;70001811;
Piletite müük;Pärnu Muuseumi ja Koidula muuseumi näituste piletite müük.;PARN-005;70001811;
EL ökomärgise taotlemine;Keskkonnaagentuur annab EL ökomärgise kasutamise õiguse toodetele või teenustele, millele on kehtestatud ökomärgise andmise kriteeriumid. ;KKAG-003;70009540;48812124794
Ettevõtte tunnustamise taotluste otsing;Ettevõtete tunnustamiste taotluste otsimine ja vaatamine ning tunnustamiste andmete registrise kandmine;PRIA-053;70005967;48812124713
Kontrollitava ehitise otsing;Kontrollitavate ehitiste andmete otsimine ja vaatamine ning kontrollimiste andmete registrisse kandmine;PRIA-052;70005967;48812124713
Kasutaja tuberkuliinimiste nimekiri;Kasutaja tuberkuliinimisandmete otsimine, vaatamine ja muutmine;PRIA-051;70005967;48812124713
Tuberkuliinimise ehitise otsing;Ehitise tuberkuliinimisandmete otsimine ja vaatamine;PRIA-050;70005967;48812124713
Tuberkuliinitud veise otsing;Veise tuberkuliinimisandmete otsimine ja vaatamine;PRIA-049;70005967;48812124713
Tuberkluliinimiste otsing;Tuberkuliinimisandmete otsimine, vaatamine ja muutmine;PRIA-048;70005967;48812124713
Näituste eksponeerimine;Pärnu Muuseumi ajutiste näituste saali kasutamine näitusteks.;PARN-004;70001811;
Ülevaatuste otsing;Ülevaatuste andmete otsimine, vaatamine registrisse kandmine ja muutmine;PRIA-047;70005967;48812124713
Võistluste otsing;Võistluste andmete otsimine, vaatamine registrisse kandmine ja muutmine;PRIA-046;70005967;48812124713
Hobuslasega seotud isikute andmete otsing ja haldamine;Hobuslasega seotud isikute andmete otsimine, vaatamine, registrisse kandmine ja muutmine;PRIA-045;70005967;48812124713
Imporditud hobuslase registreerimine;Imporditud hobuslase andmete registrisse kandmine;PRIA-044;70005967;48812124713
Hobuslase eellase registreerimine;Hobuslase eellase andmete registrisse kandmine;PRIA-043;70005967;48812124713
Hobuslaste vigade otsing;Hobuslasega seotud vigade otsimine, vaatamine ja muutmine;PRIA-042;70005967;48812124713
Hobuslaste otsing;Hobuslaste andmete otsimine, vaatamine, registrisse kandmine ja muutmine ;PRIA-041;70005967;48812124713
Haridusprogrammide tellimine;"Haridusprogrammide läbiviimine muuseumipedagoogiga või erialaspetsialistidega üldhariduskoolide õpilastele või grupitellimusel erinevatele sihtgruppidele; linnalaagrid; koolitused õpetajatele.";PARN-003;70001811;
Veebileht;Külastaja saab infot muuseumi asukoha, lahtioleku aegade, pakutavate programmide, pileti hindade ning töötajate kontaktandmete kohta. Võimalus broneerida külastusaegu ja programme. ;PAL-001;70004137;
Ekskursioonide tellimine ja giiditeenus;Pärnu Muuseumi ja Koidula muuseumi näituste ning linnaruumi tutvustamine gruppidele.;PARN-002;70001811;
EL keskkonnajuhtimis- ja -auditeerimissüsteemi juurutanud organisatsioonide registreerimine;Keskkonnaagentuur registreerib organisatsioonid või pikendab organisatsioonide registreeringud vastavalt EMAS määruse (EÜ) nr 1221/2009 nõuetele ning väljastab organisatsioonidele registreerimistunnistusi ja registreerimisnumbri.  ;KKAG-002;70009540;48812124794
Pärnu Muuseumi kogude kasutamine;Ajaloo-, arheoloogia-, arhiiv-, arhiivraamatu-, botaanika-, etnograafia-, foto-, geoloogia-, kaardi-, kunsti-, numismaatika- ja zooloogiakogu kasutamine uurimustööks või isiklikuks otstarbeks.;PARN-001;70001811;
Hädaabiteadete vastuvõtmine ja töötlemine hädaabinumbril 112;Euroopa ühtsele hädaabinumbrile 112 saabunud hädaabiteadete vastu võtmine ning kiirabi, pääste ja politsei hädaabiteadete töötlemine ning neile ohuhinnangu andmine.;HÄIR-001;70007446;
E-pood;Interneti teel muusemi meenete müük;HIIU-001;90012892;
Ettevõtte registreerimise taotlus;Ettevõtte andmete  registrisse kandmine;PRIA-040;70005967;48812124713
Veiste, lammaste, kitsede Eesti-sisene massliikumine;Veiste, lammaste ja kitsede Eesti-sisene massliikumise andmete registreerimine;PRIA-039;70005967;48812124713
Aktsiisilaopidaja ja registreeritud kaubasaaja tegevusloa taotlemine;Alkoholi on lubatud toota vaid aktsiisilaos, millele on väljastanud tegevusloa Maksu- ja Tolliamet;mta-199;70000349;
Registreeri olemasolev ehitis enda nimele;Olemasoleva tegevuskoha enda nimele registreerimine;PRIA-038;70005967;48812124713
Vesiviljelusettevõtte registreerimise taotlus;Vesiviljelusettevõtte andmete registrisse kandmine;PRIA-037;70005967;48812124713
Hoone või ala registreerimise taotlus;Tegevuskoha andmete registrisse kandmine;PRIA-036;70005967;48812124713
Mesilasperede arvu teatamine;Mesilasperede arvu 1. mai seisu registrisse kandmine;PRIA-035;70005967;48812124713
Lammaste ja kitsede arv ehitises teatamine 1. jaanuari seisuga;Lammaste ja kitsede arvu 1. jaanuari seisu registrisse kandmine;PRIA-034;70005967;48812124713
Sigade arv ehitises teatamine 1. mai seisuga;Sigade arvu 1. mai seisu registrisse kandmine;PRIA-033;70005967;48812124713
Asenduskõrvamärkide tellimine;Asenduskõrvamärkide tellimise andmete registrisse kandmine;PRIA-032;70005967;48812124713
Sigade liikumine;Sigade liikumise andmete registrisse kandmine;PRIA-031;70005967;48812124713
Põhivara impordi käibemaksu käibedeklaratsioonil deklareerimise loa taotlemine;Põhivara impordi KMD-l deklareerimise luba saab taotleda isik, kes on kauba saaja kauba vabasse ringlusse lubamise tolliprotseduurile suunamise aluseks olnud tehingu dokumentide kohaselt.;mta-198;70000349;
Aktsiisikauba peatatud loaga aktsiisilaost lähetamise loa taotlemine;Aktsiisilaopidaja, kelle tegevusluba on peatatud seoses tagatise puudumise või tagatise ebapiisavusega, lähetada aktsiisilaost tarbimisse ainult maksustatud aktsiisikaupa.;mta-197;70000349;
Veiste, lammaste, kitsede Eestist väljaviimine;Veiste, lammaste ja kitsede Eestist väljaveo andmete registrisse kandmine;PRIA-030;70005967;48812124713
Veiste, lammaste, kitsede toomine Eestisse;Veiste, lammaste ja  kitsede Eestisse sisseveo andmete registrisse kandmine;PRIA-029;70005967;48812124713
Veiste, lammaste, kitsede Eesti-sisene liikumine;Veiste, lammaste ja kitsede Eesti-sisene liikumise andmete registrisse kandmine;PRIA-028;70005967;48812124713
Veiste, lammaste, kitsede tapmise registreerimine;Veiste, lammaste ja  kitsede tapmise andmete registrisse kandmine;PRIA-027;70005967;48812124713
Veiste, lammaste, kitsede esmakordne poegimine (kui järglast ei ole võimalik märgistada), kadumine, hukkumine;Veiste, lammaste ja kitsede esmakordse poegimise (kui järglast ei ole võimalik märgistada), kadumise ja hukkumise andmete registrise kandmine;PRIA-026;70005967;48812124713
Veiste, lammaste, kitsede märgistamine;Veiste, lammaste ja kitsede andmete registrisse kandmine;PRIA-025;70005967;48812124713
Katastriüksuse andmete allalaadimise teenus;Katastri andmete allalaadimine lepingulistele klientidele.;MAA-039;70003098;48812124789
Menetluses olevad ehitised;Tegevuskohtade omanikuvahetuse andmete kinnitamine;PRIA-024;70005967;48812124713
Maakatastri statistika teenus;Võimaldab pärida maakatastri statistikat erinevate perioodide kaupa. Maareformi statistika kajastub aastast 1993, mil alustati andmete registreerimist maaregistrisse.;MAA-038;70003098;48812124789
Ehitiste andmete vaatamine;Tegevuskohtade registriandmete otsimine,  vaatamine ja muutmine;PRIA-023;70005967;48812124713
Loomapidajaga seotud vigased andmed;Registriandmetes tekkinud vigade parandamine;PRIA-022;70005967;48812124713
Loomade andmete vaatamine;Veiste, lammaste, kitsede ja sigade registriandmete otsimine ja vaatamine;PRIA-021;70005967;48812124713
Katastriüksuse andmete muudatuste päringud;Teenus võimaldab Maainfosüsteemist (MIS) lugeda üle X-tee teateid katastriüksuste andmete muudatussündmuste ning ruumikujude kohta.;MAA-037;70003098;48812124789
Volitatud esindajad;Osaliste volituste andmiseks, mida saavad ainult kliendid ise anda.;PRIA-020;70005967;48812124713
Katastriüksuse päring tunnuse järgi;Teenusega saab otsida katastriüksuse andmeid katastriüksuse tunnuse järgi (katastriüksuse tunnuseks on koolonitega eraldatud numbrite jada). Otsingu tulemusena esitatakse Maakatastris registreeritud katastriüksuse andmed.;MAA-036;70003098;48812124789
Katastriüksuse päring asukoha järgi;Teenuse abil saab otsida katastriüksuse andmeid aadressi järgi. Otsingu tulemusena esitatakse Maakatastris registreeritud katastriüksuse andmed.;MAA-035;70003098;48812124789
Sihtasutuse Haapsalu ja Läänemaa Muuseumid infoteenused;Info rubriigid: uudised, muuseumid, lahtiolekuajad, piletiinfo, näitused, programmid, üritused.;SALM-001;90012432;
Kliendi otsing;Kõikidele kodanikele kättesaadav teenus, kus saab isikukoodi järgi kontrollida, kas ollakse PRIA klient või mitte;PRIA-019;70005967;48812124713
Loomapidaja kliendiandmete sulgemine;Loomapidaja kliendiandmete sulgemine;PRIA-018;70005967;48812124713
Loomapidaja kliendiandmete vaatamine ja muutmine;Loomapidaja kliendiandmete vaatamine, kontrollimine ja muutmine.;PRIA-017;70005967;48812124713
Taotleja kliendiandmete sulgemine;Taotleja kliendiandmete sulgemine;PRIA-016;70005967;48812124713
Taotleja arveldusarve muutmine;Pangaandmete muutmiseks,  vajab digiallkirjastamist;PRIA-015;70005967;48812124713
Taotleja kliendiandmete vaatamine ja muutmine;Taotleja kliendiandmete vaatamine, kontrollimine ja muutmine.;PRIA-014;70005967;48812124713
Sooviavaldus PRIA kliendiks registreerumiseks  loomapidajana/ettevõtjana;Avaldus PRIAs loomapidajana/ ettevõtjana registreerimiseks.;PRIA-013;70005967;48812124713
Sooviavaldus PRIA kliendiks registreerumiseks  toetuse taotlejana;Avaldus PRIAs taotlejana registreerimiseks;PRIA-012;70005967;48812124713
Aktsiisikauba väljaspool tegevuskohta vastuvõtmise loa taotlemine;Alkoholi-, tubaka-, kütuse- ja elektriaktsiisi seaduse § 341 alusel on Eesti aktsiisilaopidajatel teatud tingimuste täitmisel õigus võtta teisest EL liikmesriigist ajutises aktsiisivabastuses lähetatud aktsiisikaupa vastu väljaspool aktsiisiladu;mta-196;70000349;
Jäätmetest kütuse tootmise loa taotlemine;Jäätmetest kütuse tootmise luba võib taotleda jäätmetest kütust tootev isik, kes on kantud äriregistrisse ja omab vastavat keskkonnakompleksluba.;mta-195;70000349;
Taotluse esitamine aktsiisi tagasisaamiseks;Aktsiisist on vabastatud alkohol ja kütus, mis lähetatakse aktsiisilaost teise liikmesriiki ametialaseks kasutamiseks diplomaatilisele esindusele, konsulaarasutusele jmt rahvusvahelise organisatsioonile;mta-194;70000349;
Maksusumma tasumise tähtaja pikendamise loa taotlemine;Taotlus tollideklaratsioonil määratud maksude tasumise tähtaja pikendamiseks;mta-193;70000349;
Tunnistus konteineri lubamiseks tollitõkendiga kauba veole;TIR-tunnistuste välja andmine viiakse läbi vastavalt 1975. a. TIR konventsioonis sätestatud tingimustele;mta-192;70000349;
Tunnistus maanteesõiduki lubamiseks tollitõkendiga kauba veole;Tunnistuse väljaandmine maanteesõiduki lubamiseks rahvusvaheliseks tollitõkendiga veole toimub vastavalt TIR-konventsioonis sätestatud tingimustele;mta-191;70000349;
Alkoholi aktsiisivabastuse loa taotlemine;Alkoholi aktsiisivabastuse luba annab õiguse importida, või soetada aktsiisilaopidajalt ATKEAS § 27 lõike 1 punktides 9–17 nimetatud aktsiisist vabastatud alkoholi.;mta-190;70000349;
Energia aktsiisivabastuse loa taotlemine;Üldjuhul peab teatud energiatooteid aktsiisivabal otstarbel kasutaval isikul olema energiatoodete soetamiseks ja kasutamiseks energia aktsiisivabastuse luba.;mta-189;70000349;
Volitatud banaanikaaluja staatuse loa taotlemine;Taotlus esitatakse üldjuhul tolli infosüsteemi LUBA kaudu;mta-188;70000349;
Kauba impordi käibemaksu käibedeklaratsioonil deklareerimise loa taotlemine;Maksukohustuslane võib maksuhaldurit eelnevalt kirjalikult teavitades ja KMS § 38 sätestatud tingimustel deklareerida kauba impordilt arvestatavat käibemaksu käibedeklaratsioonis.;mta-187;70000349;
Saldopäringute tegemine;Päring etteantud kuupäeva seisuga maksukohustuste ja ettemakskonto saldod;mta-186;70000349;
Nõuete otsimine / Maksukohustuste otsimine valitud perioodil;Päring etteantud perioodi nõuete kohta (maksukohustuste);mta-185;70000349;
Töötamise registreeringute kuvamine;Töötaja saab onlines jälgida tööandja poolt töötamise registrisse tehtud registreeringut ning ajalugu;mta-184;70000349;
